match_id,team,bot_support,bot_carry,mid,jungle,top,win
4737761372,200,MGBEV5KnIc0_WUmR3RSyFVzdWHDcj2Xb1VahA1ho6h9I9yWziF-W0mZq,g3GCaOWAficTf1s2xDPbWqENkQCEuo9N_fHdlse1gsFKwHegH-mqyZcz,0-Kf7Ug-PX0DOxbE0DSm_tGfD8OqJNnD9SWSJEZb8FkRf7Q,yiLFA4Q8feQieB_YingfCxE4aCAnX9B0X2ytLQkjMTjrXAoLYbPmAAa5,86yubRpf7Q6OOfcZ557-RE97EsPvNikQczvotoDVhHde,Win
4521230432,100,DeNldjL1vK2cB0NFgQB7Cdjv4WD7zCORsx8wPTiy0jju,NCaf5tJicFQHnj9rLru6mworQvYINgiZ_sndaelNb2rjnv7OEXKLiOJY,uRGExzcHrVkzfUsaIlJF6ztljXnEgcuoeNimVyyjJLTU,cm3b95Fp4YWCFqqbJSMtlgHRd7tyMRdgJa7qNhtph8NAvRDjOczHSwrU,q6mo3JzfLREB2Y54jLt7fmJgChBvCDB1wFoEbZ391QjhxUU,Fail
4521230432,200,sITCtTNcJatl38PYQrFxS6YN2_iTIvyL5na4XbkiBHpnEdQ,uc3d4suAtjiGLjIJ2nQC_5j8LycKdzzY_eByq4FoOYxOfYA,9f96zc4QcWskoasaRwSaoj4lUW11276qXXxyrNqA2ijjHbk,siTobDK344TzXXb8xzQI0v7W3q7dnRqOh4VnGD8fObmpJ-Y,0p7F9tF6ISqsO0o9E2nTiCUt27kLY58DUqdm0ewS2bBWDo5TLgLNFyq2,Win
4485578854,100,DbshZWLt3rt4-5FBJkmfrJnHEJ_2MwwPrW4p5QjwAlnylG4,0H7A54ue3Y2yoRhBFouvtDB8XS0f1GpaoFyiiMpRdUee,voVN1R4QMd21IHvdXSoL8vXx6cBjni92M7ezo6nFKsuD,OySRRG6WFhVOj1g905cT5XmFQ7lmFbcALjlDsMzR4VYd,77oA46D-CKsYFLrN-6KfJO9czuJ6-Y9NpdBGSBnIXzqY,Fail
4485578854,200,63w_bbz5evwrpvsODoLgD6atH6GM_Yzrle1ZHC-wfsZJ,ZArCDazIqJDZRV4m0qXQoJWpyWRkS9uF7YioxEJwllp-977mmotMMnKi,F3N3bvudQRbITsZBhiYqhh_yhO65ZK2hfrD79pcu0ripauhDOZtniH9C,B6ua3HWoUXaQ7Qmjy9gzBjFVDyzQzp6CoVKg0ItUfjUfXPBScMP8eLUh,SE6Rkv1hfSgPyy7LYRWgeXONXP01rR7-oOwEr4ghr7V9ADo,Win
4743659624,100,sz14OqoXwVCF20PM_QSXFJUDKGjDIMN6Y-HIBGzt7-lzhXE,i6MUkL8LWXR_biZGDyFKCI1KOjDsgk4eImUxyA5imOhE-GM,NeXtZQwT6ufI5Wb5jEO63X-ymSt8Sf7ttK-w8dsX_xKe,gVqZYzZRf1Nl73THTSgPl74WGEhDqTUGQj8QbhgqRKV1,ReGLz0ubg1g93daGf53Ungy9HNEauS85710xK4lm6-gwr_4,Win
4743659624,200,-a9OsAt1h5-51OLrtlXyjzDZyanLXE1PKUdhi66OdPnRea_RctDQBHV1,-EfiFBPQc_fm3JA0Ts69Lwm_dbWxrLrTcsjjUI88XmkgFvnQkNwQZO8Z,Uuc6xjdTX1UMdRXU34Dzc2SvgZm3SIuSk87Y2V6G8N1QwP4,2k-l2lCPxuIVTVYD1y5AoAwMyTjTH5r4szQYz3h6GnsA66c,StNokcbzMDVSk0hGgbnxGIWiqcXjsAdrwibKhs9dyGin,Fail
4715839597,100,8Za_OHdo9LD__XuqQNXZaDZs_87K-lnXtIgq4UTfxFCh9P0T4v2wEhYg,ABbwSmdtYhqvVv78RbmXxhP_wo8_nRXcE8dcKzcLTnlZ,sYn2KsvRAc9EVf7CfrfnpK8iGHJZFuQJtpa1cpyb4oGtFug,5pb07aJa7dIRHkP7Pi50xo-TxYKpaZhiXupACbIodH67RJI,3cqeXMX_38OIh6E_xjYckGMw7lU-QNoEXObzbMH81eBU,Fail
4715839597,200,6zLbf4VfUPyu-XyWS9yStQEziaSi4ahFA9png4Z5a_F4,EBZ3kpfe8N5wke0KbVHS8p1-2DAnF_4BDUqq5Y3su6s,TcIF58WLpWho8VIEF_jaFeKj6GSToOr8qfORye7zXQOn,SjLtSfci4wk-lu3f8e77V_WV4KetSa0ul3eofOM35zKfJUaNPR-Dnrbl,1kuSoVPjCjI9UFt8IAdwNg77o8WL19D75jeDICfisOXdoZkJ9TNZWyXv,Win
4728848494,100,SrKdwWA-xukUr-R3ZrFQrc-3MLkKMoLgt8AwEEgizlX1w2l7Bx71G8a_,34XAabbkKswuFX08OMOpFwqb9Q3-MDPrBFz60upH92R3LkHwGcgiD_Vy,KKyWhiE_4QhN_yxMnWlWjGlLvC0Q4q8WI2ijZ16tiqkQlq8,xOUxZAxTUZ20X6KJM-7_BtF3l3iga4ON5Nah60gqJyYLLjo,95KeReh6g_3cnjyzO5stoyPfQ8A3AcpU9EEeGw9117TD5OQ,Fail
4728848494,200,P-pgk0_O29fdphx3FAbG0Xfi7MsozOHRdxKNwOAhsVf4BC0,efMleQxH9fFRJGDAQcS0gcQ0Ks2kuJ35AyIVHD7B0W4aYUg,9lSjiH6FdMJSMtRz0TfIwapdx_Q809uvHxf6SpP5ZAp4DcMjy3XktTqK,wirMkPjE2wAxPVwS1IVzhmmZrWiK_Hqhw_s02iBHacZ_4J7kaAmH9Dc6,JcM-fH8pKnm48dWZ5jfJwf7K0rnGFV6c07Qa-bmvxOcWKP4,Win
